label,total_minutes,switch_count,longest_session_minutes,productive_minutes,productive_ratio,tod_morning_minutes,tod_afternoon_minutes,tod_evening_minutes,tod_night_minutes,study_minutes,social_minutes,entertainment_minutes,productivity_minutes,travel_minutes,category_count,category_entropy
routine,839.12,8.74,129.79,519.12,0.6186,187.45,255.32,229.84,106.17,245.67,129.49,96.47,273.46,52.64,5,2.105886
routine,754.34,8.71,128.84,528.41,0.7005,217.96,266.92,236.41,106.14,280.92,111.14,118.2,247.49,54.84,5,2.111742
routine,797.56,7.18,129.9,482.48,0.6049,193.78,231.61,231.97,108.86,246.63,124.77,123.94,235.86,33.61,5,2.100228
routine,783.7,9.23,129.86,552.08,0.7044,201.94,230.76,253.14,75.63,288.94,105.42,129.48,263.13,49.27,5,2.088666
routine,835.98,7.46,131.63,540.91,0.647,185.7,251.83,227.74,96.91,285.21,148.8,138.04,255.7,62.18,5,2.159823
routine,800.68,6.1,135.37,528.49,0.66,213.07,270.76,216.07,72.53,265.92,146.42,86.5,262.57,39.35,5,2.064267
routine,818.86,7.22,119.7,514.81,0.6287,189.86,269.36,211.78,88.15,288.66,114.5,88.39,226.15,67.85,5,2.112685
routine,800.46,7.66,103.96,548.24,0.6849,209.47,245.41,252.58,71.31,277.02,115.15,124.54,271.22,36.18,5,2.063081
routine,764.46,8.18,139.11,527.58,0.6901,202.93,244.91,214.49,74.89,256.04,141.33,85.96,271.54,57.43,5,2.105555
routine,821.76,9.15,109.74,508.22,0.6185,191.3,253.23,208.43,100.61,256.83,128.5,115.83,251.39,30.85,5,2.072978
routine,744.86,6.01,134.34,506.0,0.6793,192.23,231.5,217.53,76.98,240.12,109.71,88.85,265.88,66.02,5,2.117327
routine,799.33,6.7,102.1,432.84,0.5415,222.09,251.3,242.28,89.05,226.8,137.4,94.28,206.04,42.95,5,2.136516
routine,813.36,9.13,134.68,473.56,0.5822,211.07,247.9,253.2,72.43,260.93,120.23,136.72,212.63,31.73,5,2.099071
routine,777.48,6.32,124.33,506.14,0.651,188.28,238.75,236.65,91.93,253.11,119.42,134.58,253.03,32.94,5,2.08786
routine,759.02,8.81,134.11,536.76,0.7072,217.55,263.45,241.04,78.6,294.62,117.22,116.33,242.14,33.97,5,2.053374
routine,774.19,7.71,126.6,469.72,0.6067,203.72,232.63,251.15,72.69,240.99,117.21,104.96,228.73,33.8,5,2.087507
routine,819.81,8.35,122.46,443.29,0.5407,201.48,231.11,222.68,96.61,231.53,134.33,128.71,211.76,52.25,5,2.178787
routine,810.03,8.31,108.51,541.24,0.6682,217.84,236.21,210.41,103.81,285.77,148.1,116.02,255.47,44.07,5,2.10316
routine,764.11,9.27,124.54,523.57,0.6852,217.13,226.31,251.45,103.18,278.38,138.43,130.71,245.19,68.98,5,2.170723
routine,752.09,9.48,122.65,491.82,0.6539,205.04,232.09,236.66,71.23,237.63,108.54,100.39,254.19,30.24,5,2.048956
routine,809.53,9.11,122.7,474.45,0.5861,189.25,227.63,212.87,94.71,240.06,110.45,102.2,234.39,58.86,5,2.141183
routine,800.88,9.02,104.55,495.38,0.6186,206.5,239.16,238.92,89.47,244.05,119.14,106.52,251.34,40.93,5,2.095891
routine,800.06,6.84,105.49,460.85,0.576,197.78,241.41,205.39,99.88,228.18,125.96,80.46,232.67,42.06,5,2.094523
routine,741.08,6.29,134.47,505.87,0.6826,187.12,225.94,251.06,104.48,251.61,120.02,130.0,254.26,62.25,5,2.157819
routine,789.09,7.3,132.05,519.8,0.6587,215.91,266.6,250.99,73.53,265.14,115.06,86.91,254.66,30.83,5,2.021938
routine,821.34,7.36,113.32,488.25,0.5945,193.41,250.52,210.7,90.4,242.03,121.44,103.75,246.22,42.41,5,2.103433
routine,828.71,6.59,107.89,505.37,0.6098,215.12,263.01,237.78,77.09,249.46,139.14,128.9,255.92,39.45,5,2.116956
routine,812.74,8.26,125.41,517.4,0.6366,216.23,268.21,236.36,76.04,259.59,135.59,106.93,257.81,66.97,5,2.151974
routine,728.19,7.24,118.08,482.15,0.6621,187.84,266.58,208.84,104.57,255.95,106.48,83.37,226.2,50.29,5,2.089305
routine,822.64,9.58,117.99,508.55,0.6182,225.49,257.59,221.08,89.03,268.05,117.76,113.26,240.49,61.67,5,2.139955
routine,738.1,8.02,106.9,441.58,0.5983,197.39,246.89,226.97,90.91,229.33,143.95,100.61,212.25,58.57,5,2.176405
routine,739.05,9.16,125.89,475.9,0.6439,188.3,229.73,238.92,81.37,251.1,114.53,100.3,224.8,53.92,5,2.129707
routine,806.85,6.57,113.99,539.4,0.6685,233.38,259.92,224.6,93.8,270.96,142.4,100.0,268.44,53.31,5,2.108417
routine,832.56,9.32,129.55,478.04,0.5742,219.27,251.32,237.3,86.94,246.67,137.5,128.79,231.37,56.8,5,2.171779
routine,763.42,6.91,105.5,468.0,0.613,188.86,267.22,210.06,100.83,250.38,102.85,136.86,217.62,49.45,5,2.139325
routine,820.21,7.51,106.49,494.5,0.6029,226.57,263.55,245.45,76.62,286.86,110.21,125.98,207.64,35.24,5,2.076293
routine,772.52,8.99,117.96,506.11,0.6551,211.7,240.47,245.43,88.76,253.76,104.25,106.65,252.35,41.4,5,2.077254
routine,820.21,7.53,121.1,522.05,0.6365,233.31,265.84,245.06,75.54,250.75,149.07,107.7,271.3,41.27,5,2.09943
routine,750.0,9.4,111.4,536.07,0.7148,223.16,238.64,250.27,75.89,269.88,123.27,86.16,266.19,63.84,5,2.102556
routine,772.5,6.21,120.08,511.79,0.6625,196.79,274.73,223.75,71.13,291.25,117.07,100.98,220.54,31.07,5,2.038698
routine,831.7,9.32,127.84,534.24,0.6423,191.94,260.28,227.43,70.21,283.74,137.48,88.26,250.5,41.48,5,2.062665
routine,729.51,6.44,111.52,506.36,0.6941,200.06,227.39,225.99,101.76,242.91,122.93,123.63,263.45,51.11,5,2.131458
routine,774.85,6.97,105.74,501.12,0.6467,206.46,255.74,217.03,86.66,232.76,125.8,80.99,268.36,50.62,5,2.088449
routine,799.72,9.95,122.17,504.22,0.6305,204.52,248.51,236.78,109.24,230.99,94.06,111.56,273.23,50.29,5,2.091339
routine,750.44,9.09,129.41,486.33,0.6481,201.63,227.22,232.3,102.54,226.14,110.69,123.98,260.2,55.13,5,2.14139
routine,741.01,6.25,131.05,517.06,0.6978,207.88,239.67,207.19,77.98,279.54,131.72,117.9,237.52,62.46,5,2.148314
routine,725.03,9.01,107.64,531.41,0.733,202.85,264.04,248.29,83.28,290.34,149.35,112.58,241.08,40.13,5,2.092915
routine,734.94,9.89,119.85,518.03,0.7049,209.88,271.22,230.96,102.05,250.76,134.6,133.68,267.26,45.47,5,2.12611
routine,807.25,6.32,126.44,477.7,0.5918,200.32,255.13,226.31,97.59,230.52,139.34,112.73,247.17,42.85,5,2.12886
routine,762.19,9.92,137.92,493.87,0.648,188.75,256.88,223.17,102.04,227.96,111.15,139.89,265.9,40.98,5,2.111447
routine,801.53,6.27,131.14,506.69,0.6322,203.32,244.14,233.36,94.2,291.7,126.45,126.88,214.99,31.39,5,2.072317
routine,801.49,7.59,125.98,522.46,0.6519,197.48,230.67,241.78,89.96,291.42,135.79,114.44,231.04,51.18,5,2.118041
routine,766.44,7.14,136.66,487.64,0.6362,209.56,231.13,247.64,88.08,264.32,105.62,106.78,223.32,69.85,5,2.150015
routine,827.84,7.39,102.6,467.3,0.5645,212.11,269.57,247.57,98.47,256.16,130.92,130.73,211.15,42.78,5,2.139141
routine,831.28,6.56,131.61,530.2,0.6378,186.31,252.7,223.45,102.15,269.64,120.53,87.28,260.56,38.04,5,2.04364
routine,786.2,8.1,130.77,478.87,0.6091,226.17,228.69,253.62,95.69,267.84,108.56,139.98,211.04,58.75,5,2.155931
routine,774.0,6.73,138.65,501.72,0.6482,206.63,270.54,207.77,74.97,272.61,142.68,126.82,229.12,55.59,5,2.154974
routine,738.36,9.58,133.84,464.11,0.6286,197.53,256.75,232.54,75.01,236.53,132.56,100.76,227.59,67.64,5,2.17667
routine,756.34,8.63,128.83,502.52,0.6644,215.26,267.13,233.18,103.01,262.34,100.12,136.5,240.18,36.17,5,2.081539
routine,723.4,7.67,125.56,478.08,0.6609,209.9,256.36,219.48,108.27,228.18,124.61,119.07,249.9,60.68,5,2.165895
routine,777.95,7.76,119.37,534.28,0.6868,195.2,255.33,220.63,98.73,281.33,107.85,84.38,252.95,32.4,5,2.005659
routine,808.1,7.28,118.66,558.53,0.6912,198.37,237.4,209.84,81.61,285.25,97.85,102.23,273.28,52.47,5,2.059289
routine,766.1,8.31,112.51,490.46,0.6402,223.16,249.91,230.74,89.95,268.08,141.92,89.58,222.38,43.1,5,2.095216
routine,757.02,7.41,102.02,497.79,0.6576,209.74,269.12,237.71,88.82,226.62,120.33,138.0,271.17,38.61,5,2.108425
routine,784.4,7.46,116.02,519.47,0.6622,213.51,234.73,232.66,72.94,284.3,142.95,123.65,235.16,60.55,5,2.15282
routine,780.51,9.9,115.76,503.09,0.6446,224.74,241.95,251.95,100.2,278.51,149.35,120.82,224.58,34.75,5,2.098415
routine,743.89,7.89,118.28,500.64,0.673,215.31,250.78,221.4,94.52,260.64,92.72,88.22,240.01,43.32,5,2.050765
routine,739.5,8.13,128.35,551.1,0.7452,199.99,265.79,223.42,96.95,294.34,107.95,100.18,256.75,63.13,5,2.093703
routine,837.59,7.9,138.68,526.63,0.6287,224.15,263.81,233.88,98.86,265.86,133.52,121.28,260.77,31.07,5,2.071386
routine,790.02,8.72,101.26,485.97,0.6151,232.41,230.49,205.95,82.55,236.94,127.18,130.47,249.03,35.91,5,2.111065
routine,738.17,8.94,102.49,507.06,0.6869,191.9,235.37,221.25,96.49,273.34,136.5,135.23,233.73,64.91,5,2.172999
routine,783.06,9.09,128.84,464.09,0.5927,217.17,259.67,235.5,77.69,246.96,144.73,100.54,217.12,44.17,5,2.129518
routine,749.58,6.83,128.2,484.81,0.6468,200.85,242.44,251.69,101.82,264.07,148.37,97.86,220.74,41.56,5,2.107299
routine,752.81,9.82,132.18,485.89,0.6454,199.52,239.38,240.71,83.85,233.53,112.78,138.81,252.36,62.74,5,2.168354
routine,773.09,8.78,105.49,481.49,0.6228,215.78,254.34,217.12,96.79,242.95,102.12,112.31,238.54,67.32,5,2.154152
routine,783.72,9.08,100.21,478.33,0.6103,212.52,271.45,225.35,107.4,269.66,114.8,123.04,208.67,34.02,5,2.088648
routine,825.41,9.63,103.58,477.38,0.5784,213.71,251.76,241.16,107.47,258.42,147.83,99.27,218.96,55.84,5,2.147849
routine,829.59,7.59,119.82,504.01,0.6075,231.83,273.11,251.3,105.07,237.25,100.55,135.18,266.76,69.89,5,2.156646
routine,721.11,8.17,119.76,477.27,0.6619,231.93,267.55,228.4,77.71,264.76,148.98,97.07,212.51,69.56,5,2.169695
routine,733.52,9.16,122.71,473.5,0.6455,222.86,233.77,247.81,105.88,236.37,105.44,91.17,237.12,59.46,5,2.12684
routine,819.24,7.29,109.92,472.14,0.5763,198.04,236.78,242.69,108.16,261.07,130.16,91.09,211.07,35.62,5,2.079808
routine,756.23,6.47,112.27,481.4,0.6366,205.27,250.13,249.76,98.14,275.6,129.22,121.57,205.8,32.48,5,2.08908
routine,757.32,6.53,106.13,502.35,0.6633,222.39,255.29,225.79,91.97,233.22,107.7,116.88,269.13,38.77,5,2.082461
routine,776.5,9.49,103.27,514.11,0.6621,207.34,260.19,208.91,92.57,262.63,103.1,94.85,251.49,60.19,5,2.102633
routine,727.41,8.08,104.65,503.72,0.6925,195.27,254.16,209.55,90.42,263.34,124.36,88.99,240.38,43.12,5,2.079423
routine,817.04,9.23,128.93,497.67,0.6091,204.8,265.82,242.29,93.13,256.74,117.41,83.46,240.93,48.5,5,2.08506
routine,725.43,9.74,101.27,458.58,0.6321,205.44,263.45,243.29,109.13,249.12,149.65,136.07,209.46,32.76,5,2.126389
routine,797.51,7.5,127.31,528.93,0.6632,218.09,251.97,237.68,83.91,254.43,112.95,132.18,274.5,66.27,5,2.147046
routine,741.42,6.09,111.93,504.63,0.6806,218.67,252.22,231.6,102.93,262.61,133.67,93.36,242.02,30.14,5,2.051279
routine,749.7,9.24,116.77,473.53,0.6316,223.3,269.19,205.78,78.24,249.23,146.24,123.5,224.3,34.51,5,2.117753
routine,732.11,7.61,109.37,474.2,0.6477,195.86,268.19,207.82,90.16,227.35,132.2,82.92,246.84,59.62,5,2.133711
routine,754.71,7.28,112.07,538.31,0.7133,192.16,258.01,216.05,82.02,282.11,109.13,115.88,256.21,56.9,5,2.107049
routine,727.31,7.98,138.89,557.98,0.7672,232.08,258.57,244.29,82.75,291.4,144.69,117.56,266.58,47.09,5,2.101812
routine,769.96,7.2,128.3,466.8,0.6063,225.29,270.74,233.12,108.71,235.45,135.26,108.41,231.35,63.97,5,2.176893
routine,786.87,9.39,103.7,456.39,0.58,221.23,234.52,218.42,96.95,234.39,102.2,118.8,222.0,66.89,5,2.173808
routine,792.35,7.92,134.78,504.32,0.6365,201.65,272.85,205.77,107.49,286.15,135.7,123.46,218.17,52.35,5,2.135944
routine,835.45,6.82,136.61,508.18,0.6083,212.6,263.78,224.03,91.35,233.21,118.74,94.56,274.97,54.18,5,2.104482
routine,763.11,7.88,133.59,484.21,0.6345,230.72,243.54,225.7,92.5,243.31,119.84,85.92,240.9,69.25,5,2.142857
routine,746.55,6.61,113.19,458.47,0.6141,203.99,266.67,229.97,96.18,235.21,146.09,114.75,223.25,46.7,5,2.153695
routine,802.18,6.67,131.8,505.52,0.6302,193.46,261.02,229.42,106.68,243.01,147.99,118.5,262.51,49.62,5,2.138628
routine,785.06,8.67,130.57,479.04,0.6102,205.62,267.13,216.57,98.29,269.93,92.03,130.8,209.11,67.81,5,2.150575
routine,721.1,7.93,119.51,491.53,0.6816,185.33,252.58,205.59,91.18,260.4,127.07,120.01,231.12,54.66,5,2.147275
routine,752.97,9.64,104.28,499.62,0.6635,189.82,232.44,214.6,91.06,293.42,138.79,120.44,206.2,62.25,5,2.152972
routine,817.83,9.96,109.03,476.5,0.5826,219.2,267.39,237.69,104.33,243.71,112.38,104.36,232.78,52.6,5,2.129832
routine,811.15,6.69,119.99,463.09,0.5709,206.7,264.22,233.29,104.32,231.55,123.16,83.37,231.55,30.38,5,2.05898
routine,731.44,7.9,101.86,469.95,0.6425,188.72,271.28,249.97,92.54,261.97,102.69,132.09,207.98,65.5,5,2.165409
routine,723.95,8.85,115.93,517.03,0.7142,188.85,233.12,217.02,103.39,290.01,147.69,115.22,227.01,60.09,5,2.146083
routine,766.7,8.9,120.03,515.98,0.673,233.72,227.68,226.85,103.55,287.76,135.34,88.4,228.22,69.54,5,2.130124
routine,760.87,7.09,139.7,550.67,0.7237,209.53,242.79,252.06,87.27,278.83,113.8,126.41,271.84,31.19,5,2.046359
routine,801.56,6.33,106.17,482.25,0.6016,220.58,256.7,241.98,82.67,271.25,127.12,127.88,211.0,58.52,5,2.16053
routine,732.79,6.75,117.95,451.94,0.6167,212.74,245.4,206.31,84.16,225.36,111.6,96.19,226.58,35.3,5,2.090929
routine,731.17,6.34,136.05,494.57,0.6764,230.26,273.91,233.6,76.78,266.86,113.11,97.51,227.71,45.51,5,2.091532
routine,765.69,7.68,119.37,460.8,0.6018,188.85,237.58,217.33,95.0,234.72,119.59,83.8,226.08,47.39,5,2.109493
routine,791.26,8.48,132.16,451.18,0.5702,201.48,241.74,245.77,104.38,238.69,108.28,136.93,212.49,43.29,5,2.139448
routine,836.91,9.86,138.75,461.98,0.552,199.57,259.75,229.55,93.04,234.53,146.84,92.05,227.45,42.57,5,2.119431
routine,749.09,8.37,121.83,513.48,0.6855,219.09,252.5,252.65,88.46,251.32,113.58,86.83,262.15,52.55,5,2.08612
routine,805.0,7.64,119.97,481.09,0.5976,216.67,237.1,237.93,98.61,255.69,131.57,129.14,225.39,61.83,5,2.176027
routine,814.69,9.68,127.67,504.53,0.6193,212.18,264.54,222.98,105.82,230.18,118.75,104.05,274.35,50.26,5,2.107883
routine,784.43,8.59,101.77,480.62,0.6127,234.18,258.87,224.98,100.11,269.67,136.14,119.46,210.95,44.2,5,2.128419
routine,835.89,8.32,123.01,460.87,0.5514,207.29,244.56,243.62,93.54,255.13,105.52,110.64,205.74,50.75,5,2.130399
routine,780.06,6.46,137.63,455.87,0.5844,192.08,240.59,227.77,78.27,249.15,96.27,104.96,206.72,68.47,5,2.157122
routine,777.95,9.24,104.6,494.0,0.635,227.46,257.4,238.86,76.57,258.33,131.81,99.13,235.67,42.01,5,2.09959
routine,838.07,6.93,116.2,459.29,0.548,194.22,257.02,226.61,71.17,242.07,99.61,113.59,217.21,68.34,5,2.16748
routine,793.69,9.01,132.35,485.27,0.6114,188.13,230.09,248.6,77.48,238.81,113.33,122.28,246.45,38.23,5,2.102887
routine,759.12,8.39,124.45,480.39,0.6328,214.35,242.4,247.28,94.69,257.03,141.76,111.66,223.36,55.56,5,2.155939
routine,817.65,6.47,112.22,500.24,0.6118,194.15,259.67,230.54,86.73,274.42,126.87,85.09,225.82,35.36,5,2.051761
routine,736.54,10.0,122.2,469.86,0.6379,209.48,232.01,220.73,88.04,251.86,128.13,121.61,218.0,55.81,5,2.163217
routine,726.43,8.02,119.8,455.8,0.6275,219.23,245.78,246.99,89.55,250.13,98.19,128.91,205.67,68.55,5,2.17496
routine,729.92,6.67,118.29,485.43,0.6651,222.13,263.3,232.49,74.53,227.16,107.53,96.49,258.27,51.5,5,2.107384
routine,733.7,8.88,121.85,541.89,0.7386,234.49,230.12,246.5,100.05,279.26,112.01,129.36,262.63,31.66,5,2.053011
